"Name","Publisher"
"7EE7776C.LinkedInforWindows","DDCCB5DA-E820-43B5-B58C-BEF830E60516"
"9426MICRO-STARINTERNATION.MSICenter","A225F3B5-240D-4EE9-BCF4-697A07F5E93E"
"Adobe Creative Cloud","Adobe Inc."
"Adobe Genuine Service","Adobe Inc."
"Adobe Photoshop 2025","Adobe Inc."
"AppUp.IntelGraphicsExperience","EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3"
"A-Volute.Nahimic","21E1B422-257A-44A2-9C8F-379165856473"
"Blender","Blender Foundation"
"Brave","Brave Software Inc"
"calibre 64bit","Kovid Goyal"
"Clipchamp.Clipchamp","33F0F141-36F3-4EC2-A77D-51B53D0BA0E4"
"Distance","Refract"
"foobar2000 v2.24.6 (x64)","Peter Pawlowski"
"Intel(R) Chipset Device Software","Intel(R) Corporation"
"Intel(R) Serial IO","Intel Corporation"
"Killer Performance Driver Suite UWD","Rivet Networks"
"MAGIX.MusicMakerJam","B3B0A5E1-DA5E-4E14-B5A2-F9586AF23405"
"Microsoft 365 Apps for enterprise - en-us","Microsoft Corporation"
"Microsoft Edge","Microsoft Corporation"
"Microsoft OneDrive","Microsoft Corporation"
"Microsoft OneNote - en-us","Microsoft Corporation"
"Microsoft Update Health Tools","Microsoft Corporation"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","Microsoft Corporation"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","Microsoft Corporation"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501","Microsoft Corporation"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501","Microsoft Corporation"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34438","Microsoft Corporation"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34438","Microsoft Corporation"
"Microsoft.ApplicationCompatibilityEnhancements","Microsoft Corporation"
"Microsoft.AV1VideoExtension","Microsoft Corporation"
"Microsoft.AVCEncoderVideoExtension","Microsoft Corporation"
"Microsoft.BingNews","Microsoft Corporation"
"Microsoft.BingSearch","Microsoft Corporation"
"Microsoft.BingTranslator","Microsoft Corporation"
"Microsoft.BingWeather","Microsoft Corporation"
"Microsoft.Copilot","Microsoft Corporation"
"Microsoft.GamingApp","Microsoft Corporation"
"Microsoft.GetHelp","Microsoft Corporation"
"Microsoft.HEIFImageExtension","Microsoft Corporation"
"Microsoft.MicrosoftOfficeHub","Microsoft Corporation"
"Microsoft.MicrosoftSolitaireCollection","Microsoft Corporation"
"Microsoft.MicrosoftStickyNotes","Microsoft Corporation"
"Microsoft.MPEG2VideoExtension","Microsoft Corporation"
"Microsoft.Paint","Microsoft Corporation"
"Microsoft.People","Microsoft Corporation"
